BMI_Overweight,BMI_Overwgt8,BMI_Overwgt4,BMI,Avg 0,BMI_Class,HR,Outlier,Number of Records,Avg,Handedness,Height,Name,Weight
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,452,Good Data,1,0.285,Left,71,Carl Yastrzemski,175
Normal,"N4: [24,25)",Normal 2,24.899645809,No Batting,b Normal,0,Good Data,1,0,Right,77,Bob Babcock,210
Normal,"N4: [24,25)",Normal 2,24.404879984,No Batting,b Normal,0,Good Data,1,0,Right,71,Craig Eaton,175
Normal,"N1: [19,22)",Normal 1,21.697530864,Batted,b Normal,43,Good Data,1,0.249,Both,72,Derrel Thomas,160
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,43,Good Data,1,0.26,Right,74,Art Howe,190
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,20,Good Data,1,0.256,Right,72,Ike Brown,190
Normal,"N4: [24,25)",Normal 2,24.828947368,Batted,b Normal,11,Good Data,1,0.216,Right,76,Howie Goss,204
Overweight,"O2: [25.5,26)",OvWgt 1,25.559210526,Batted,c Overwgt,16,Good Data,1,0.229,Right,76,Glenn Borgmann,210
Overweight,"O4: [26.5,30)",OvWgt 2,27.601351351,Batted,c Overwgt,64,Good Data,1,0.287,Right,74,Lamar Johnson,215
Normal,"N2: [22,23)",Normal 1,22.591946042,Batted,b Normal,4,Good Data,1,0.235,Right,71,Julio Gonzalez,162
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,6,Good Data,1,0.208,Right,70,Bobby Klaus,170
Overweight,"O3: [26,26.5)",OvWgt 2,26.172646605,Batted,c Overwgt,65,Good Data,1,0.296,Right,72,Manny Sanguillen,193
Overweight,"O4: [26.5,30)",OvWgt 2,30.680420551,Batted,d Obese,84,Good Data,1,0.257,Left,71,Gates Brown,220
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,53,Good Data,1,0.29,Both,71,Johnny Ray,170
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,32,Good Data,1,0.28,Right,74,Jesus Alou,190
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,91,Good Data,1,0.268,Left,70,Ken Landreaux,165
Normal,"N1: [19,22)",Normal 1,20.690789474,Batted,b Normal,60,Good Data,1,0.277,Right,76,Enos Cabell,170
Normal,"N3: [22,24)",Normal 2,23.731674383,No Batting,b Normal,0,Good Data,1,0,Right,72,Roy Branch,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,20,Good Data,1,0.261,Both,71,Billy North,185
Normal,"N1: [19,22)",Normal 1,20.918468558,Batted,b Normal,79,Good Data,1,0.274,Right,71,Juan Beniquez,150
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,39,Good Data,1,0.199,Right,72,Frank Fernandez,185
Overweight,"O4: [26.5,30)",OvWgt 2,26.828775510,Batted,c Overwgt,10,Good Data,1,0.265,Right,70,Bombo Rivera,187
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,30,Good Data,1,0.258,Right,72,Steve Brye,190
Overweight,"O4: [26.5,30)",OvWgt 2,27.121913580,Batted,c Overwgt,56,Good Data,1,0.259,Right,72,Ron Jackson,200
Normal,"N2: [22,23)",Normal 1,22.375578704,Batted,b Normal,5,Good Data,1,0.231,Both,72,Roger Metzger,165
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,11,Good Data,1,0.27,Right,72,Rufino Linares,170
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,17,Good Data,1,0.244,Left,72,Ray Webster,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,27,Good Data,1,0.233,Right,72,Bob Kearney,190
Normal,"N4: [24,25)",Normal 2,24.306797099,Batted,b Normal,13,Good Data,1,0.165,Right,77,Fergie Jenkins,205
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,66,Good Data,1,0.261,Right,73,Dick Dietz,195
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,10,Good Data,1,0.245,Right,75,Ted Cox,195
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,3,Good Data,1,0.243,Left,70,Bobby Mitchell,170
Normal,"N3: [22,24)",Normal 2,23.120888889,Batted,b Normal,21,Good Data,1,0.235,Right,75,Bobby Mitchell,185
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,2,Good Data,1,0.251,Right,73,Barry Evans,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.824489796,Batted,c Overwgt,32,Good Data,1,0.259,Right,70,Mickey Brantley,180
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,11,Good Data,1,0.263,Right,72,Al Gallagher,180
Normal,"N3: [22,24)",Normal 2,23.120888889,No Batting,b Normal,0,Good Data,1,0,Right,75,Rob Woodward,185
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,39,Good Data,1,0.225,Right,71,Hector Cruz,170
Normal,"N3: [22,24)",Normal 2,23.565095156,Batted,b Normal,0,Good Data,1,0.125,Both,68,Fred Norman,155
Normal,"N3: [22,24)",Normal 2,23.108108108,Batted,b Normal,1,Good Data,1,0.236,Right,74,Woody Woodward,180
Normal,"N2: [22,23)",Normal 1,22.375578704,Batted,b Normal,7,Good Data,1,0.24,Right,72,Ted Martinez,165
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,13,Good Data,1,0.218,Right,72,Jim Anderson,170
Normal,"N3: [22,24)",Normal 2,23.625288805,Batted,b Normal,25,Good Data,1,0.23,Right,69,Lenn Sakata,160
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,109,Good Data,1,0.214,Right,74,Dave Duncan,190
Normal,"N4: [24,25)",Normal 2,24.138503086,Batted,b Normal,0,Good Data,1,0.132,Right,72,Randy Jones,178
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,16,Good Data,1,0.227,Right,73,Dick Billings,195
Normal,"N3: [22,24)",Normal 2,23.731674383,No Batting,b Normal,0,Good Data,1,0,Right,72,Bob Veselic,175
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,100,Good Data,1,0.282,Left,75,Bruce Bochte,195
Normal,"N4: [24,25)",Normal 2,24.125967070,Batted,b Normal,96,Good Data,1,0.264,Left,71,Bernie Carbo,173
Normal,"N3: [22,24)",Normal 2,23.490755179,Batted,b Normal,36,Good Data,1,0.279,Left,67,Vic Davalillo,150
Overweight,"O4: [26.5,30)",OvWgt 2,27.703133796,Batted,c Overwgt,4,Good Data,1,0.123,Right,73,Burt Hooton,210
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,No Batting,c Overwgt,0,Good Data,1,0,Both,73,Chuck Hockenbery,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.998520710,No Batting,c Overwgt,0,Good Data,1,0,Right,78,Bob Ferris,225
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,17,Good Data,1,0.235,Right,70,Fernando Gonzalez,165
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,95,Good Data,1,0.248,Right,72,Jim Sundberg,190
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,Batted,c Overwgt,73,Good Data,1,0.236,Right,75,Andy Kosco,205
Overweight,"O4: [26.5,30)",OvWgt 2,26.911615688,Batted,c Overwgt,16,Good Data,1,0.206,Both,73,Steve Huntz,204
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,No Batting,c Overwgt,0,Good Data,1,0,Right,75,Gary Wheelock,205
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,5,Good Data,1,0.251,Right,72,Lenny Faedo,170
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,116,Good Data,1,0.253,Left,72,John Lowenstein,175
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,14,Good Data,1,0.252,Both,73,Don Kessinger,170
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,Batted,c Overwgt,40,Good Data,1,0.239,Left,72,Joe Hague,195
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,63,Good Data,1,0.299,Left,74,Bake McBride,190
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,27,Good Data,1,0.265,Right,75,Dick Davis,190
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,13,Good Data,1,0.263,Both,73,Richie Scheinblum,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,80,Good Data,1,0.24,Left,73,Ed Herrmann,195
Normal,"N4: [24,25)",Normal 2,24.950657895,No Batting,b Normal,0,Good Data,1,0,Left,76,Mike Rochford,205
Normal,"N4: [24,25)",Normal 2,24.370666667,No Batting,b Normal,0,Good Data,1,0,Both,75,Jeff Schneider,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,14,Good Data,1,0.264,Left,72,Bob Molinaro,190
Normal,"N4: [24,25)",Normal 2,24.800900732,Batted,b Normal,53,Good Data,1,0.242,Left,73,Mike Hegan,188
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,31,Good Data,1,0.247,Right,74,Mike Diaz,195
Normal,"N4: [24,25)",Normal 2,24.274112654,Batted,b Normal,25,Good Data,1,0.251,Right,72,Tim Foli,179
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,12,Good Data,1,0.213,Right,72,Alan Knicely,190
Overweight,"O3: [26,26.5)",OvWgt 2,26.495288889,Batted,c Overwgt,77,Good Data,1,0.225,Right,75,Tim Laudner,212
Overweight,"O3: [26,26.5)",OvWgt 2,26.078357469,Batted,c Overwgt,26,Good Data,1,0.287,Right,71,Jose Morales,187
Overweight,"O2: [25.5,26)",OvWgt 1,25.537551020,No Batting,c Overwgt,0,Good Data,1,0,Right,70,Luis Encarnacion,178
Normal,"N3: [22,24)",Normal 2,23.75,No Batting,b Normal,0,Good Data,1,0,Right,74,Rick Kreuger,185
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,4,Good Data,1,0.165,Right,72,Juan Marichal,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.630208333,Batted,c Overwgt,4,Good Data,1,0.104,Both,72,Vida Blue,189
Normal,"N4: [24,25)",Normal 2,24.363579080,No Batting,b Normal,0,Good Data,1,0,Left,69,Angel Moreno,165
Normal,"N3: [22,24)",Normal 2,23.745777778,No Batting,b Normal,0,Good Data,1,0,Right,75,Roger Weaver,190
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,7,Good Data,1,0.218,Right,72,Stan Papi,170
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,39,Good Data,1,0.248,Left,73,Rob Wilfong,180
Normal,"N3: [22,24)",Normal 2,23.121099680,No Batting,b Normal,0,Good Data,1,0,Right,77,Chris Knapp,195
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,68,Good Data,1,0.28,Right,74,Steve Henderson,190
Normal,"N3: [22,24)",Normal 2,23.75,Batted,b Normal,17,Good Data,1,0.234,Right,74,Rob Picciolo,185
Normal,"N4: [24,25)",Normal 2,24.950657895,No Batting,b Normal,0,Good Data,1,0,Right,76,Don Welchel,205
Normal,"N4: [24,25)",Normal 2,24.405141678,No Batting,b Normal,0,Good Data,1,0,Left,73,Randy Wiles,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.845588235,Batted,c Overwgt,13,Good Data,1,0.245,Right,68,Roberto Pena,170
Normal,"N1: [19,22)",Normal 1,21.697530864,Batted,b Normal,23,Good Data,1,0.255,Right,72,Bob Dernier,160
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,160,Good Data,1,0.253,Right,74,Bill Melton,200
Normal,"N1: [19,22)",Normal 1,21.615750843,Batted,b Normal,5,Good Data,1,0.251,Both,71,Albert Hall,155
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,11,Good Data,1,0.267,Right,70,Barbaro Garbey,170
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,131,Good Data,1,0.249,Left,72,John Milner,185
Normal,"N3: [22,24)",Normal 2,23.120888889,Batted,b Normal,52,Good Data,1,0.253,Left,75,Rich Reese,185
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,Batted,c Overwgt,27,Good Data,1,0.227,Both,72,Chris Bando,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,174,Good Data,1,0.289,Left,72,Bill Buckner,185
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,22,Good Data,1,0.251,Right,74,Jack Hiatt,190
Normal,"N3: [22,24)",Normal 2,23.733552632,Batted,b Normal,22,Good Data,1,0.223,Right,76,Nelson Mathews,195
Normal,"N2: [22,23)",Normal 1,22.148708255,Batted,b Normal,0,Good Data,1,0.227,Both,69,Larry Lintz,150
Overweight,"O1: [25,25.5)",OvWgt 1,25.085423875,Batted,c Overwgt,2,Good Data,1,0.248,Right,68,Ron Theobald,165
Normal,"N4: [24,25)",Normal 2,24.409722222,No Batting,b Normal,0,Good Data,1,0,Right,72,Dewey Robinson,180
Normal,"N1: [19,22)",Normal 1,21.766747983,Batted,b Normal,13,Good Data,1,0.246,Right,73,Rafael Santana,165
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,30,Good Data,1,0.258,Both,70,Jerry Hairston,170
Normal,"N3: [22,24)",Normal 2,23.707597699,No Batting,b Normal,0,Good Data,1,0,Right,71,Tony Arnold,170
Normal,"N3: [22,24)",Normal 2,23.713948389,No Batting,b Normal,0,Good Data,1,0,Left,77,Jeff Schattinger,200
Normal,"N1: [19,22)",Normal 1,20.156856131,No Batting,b Normal,0,Good Data,1,0,Right,77,Ike Brookens,170
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,13,Good Data,1,0.229,Right,75,Tommie Aaron,190
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,13,Good Data,1,0.243,Right,73,Steve Dillard,180
Normal,"N1: [19,22)",Normal 1,20.540540541,No Batting,b Normal,0,Good Data,1,0,Right,74,Win Remmerswaal,160
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,No Batting,c Overwgt,0,Good Data,1,0,Right,74,Jeff Peterek,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,271,Good Data,1,0.268,Right,74,George Scott,200
Normal,"N4: [24,25)",Normal 2,24.370666667,No Batting,b Normal,0,Good Data,1,0,Right,75,Jeff Shaver,195
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,11,Good Data,1,0.231,Right,73,Ken Walters,180
Overweight,"O4: [26.5,30)",OvWgt 2,26.959459459,Batted,c Overwgt,268,Good Data,1,0.225,Right,74,Gorman Thomas,210
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,10,Good Data,1,0.27,Right,73,Paul Dade,185
Overweight,"O3: [26,26.5)",OvWgt 2,26.172646605,Batted,c Overwgt,188,Good Data,1,0.247,Left,72,Darrell Porter,193
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,0,Good Data,1,0.223,Left,73,Tim Johnson,170
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,10,Good Data,1,0.216,Right,70,Fred Stanley,165
Normal,"N2: [22,23)",Normal 1,22.237755102,Batted,b Normal,15,Good Data,1,0.26,Both,70,Larry Bowa,155
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,12,Good Data,1,0.27,Left,71,Tim Corcoran,175
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,146,Good Data,1,0.25,Left,74,Jim Spencer,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,27,Good Data,1,0.257,Left,74,Pete LaCock,200
Overweight,"O4: [26.5,30)",OvWgt 2,27.121913580,Batted,c Overwgt,7,Good Data,1,0.156,Right,72,Carl Morton,200
Overweight,"O1: [25,25.5)",OvWgt 1,25.358989198,Batted,c Overwgt,24,Good Data,1,0.24,Right,72,Gary Gray,187
Normal,"N3: [22,24)",Normal 2,23.625288805,Batted,b Normal,31,Good Data,1,0.307,Left,69,Matty Alou,160
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,No Batting,c Overwgt,0,Good Data,1,0,Both,74,Pete Filson,195
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,77,Good Data,1,0.26,Left,70,Jim Dwyer,165
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,41,Good Data,1,0.235,Left,73,Dalton Jones,180
Normal,"N2: [22,23)",Normal 1,22.313033128,Batted,b Normal,41,Good Data,1,0.274,Right,71,Rennie Stennett,160
Normal,"N3: [22,24)",Normal 2,23.745777778,No Batting,b Normal,0,Good Data,1,0,Right,75,Jim Gideon,190
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,15,Good Data,1,0.234,Right,74,Jerry May,190
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,20,Good Data,1,0.225,Right,71,Rich McKinney,185
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,32,Good Data,1,0.259,Left,75,Clint Hurdle,195
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,66,Good Data,1,0.258,Right,75,Mike Andrews,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,19,Good Data,1,0.239,Right,72,Bobby Clark,190
Normal,"N3: [22,24)",Normal 2,23.75,No Batting,b Normal,0,Good Data,1,0,Left,74,Jeff Twitty,185
Overweight,"O3: [26,26.5)",OvWgt 2,26.167763158,Batted,c Overwgt,196,Good Data,1,0.258,Right,76,Cliff Johnson,215
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,No Batting,c Overwgt,0,Good Data,1,0,Both,74,Steve Cummings,200
Overweight,"O1: [25,25.5)",OvWgt 1,25.4375,Batted,c Overwgt,159,Good Data,1,0.274,Right,76,Donn Clendenon,209
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,29,Good Data,1,0.255,Right,73,Charlie James,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,218,Good Data,1,0.277,Right,73,Bob Horner,195
Normal,"N3: [22,24)",Normal 2,23.085944830,Batted,b Normal,14,Good Data,1,0.241,Right,73,Tom Veryzer,175
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,No Batting,c Overwgt,0,Good Data,1,0,Right,71,Jose Cecena,180
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,9,Good Data,1,0.205,Right,70,George Smith,170
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,33,Good Data,1,0.244,Right,74,Jim Essian,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.821854913,Batted,c Overwgt,3,Good Data,1,0.239,Right,66,Onix Concepcion,160
Normal,"N3: [22,24)",Normal 2,23.625288805,Batted,b Normal,8,Good Data,1,0.256,Left,69,Boots Day,160
Normal,"N1: [19,22)",Normal 1,21.766747983,Batted,b Normal,10,Good Data,1,0.228,Right,73,Brian Giles,165
Normal,"N1: [19,22)",Normal 1,21.871111111,Batted,b Normal,117,Good Data,1,0.285,Right,75,Garry Maddox,175
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,23,Good Data,1,0.249,Right,70,Alex Trevino,165
Overweight,"O3: [26,26.5)",OvWgt 2,26.037037037,Batted,c Overwgt,18,Good Data,1,0.214,Right,72,Jim Price,192
Normal,"N3: [22,24)",Normal 2,23.986510613,Batted,b Normal,22,Good Data,1,0.279,Right,71,Felix Millan,172
Overweight,"O4: [26.5,30)",OvWgt 2,27.546122449,Batted,c Overwgt,272,Good Data,1,0.294,Right,70,Steve Garvey,192
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,Batted,c Overwgt,200,Good Data,1,0.249,Left,75,Don Mincher,205
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,No Batting,c Overwgt,0,Good Data,1,0,Right,73,Greg Erardi,190
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,No Batting,c Overwgt,0,Good Data,1,0,Right,73,Jim Farr,195
Overweight,"O4: [26.5,30)",OvWgt 2,28.478009259,Batted,c Overwgt,11,Good Data,1,0.192,Right,72,Tony Cloninger,210
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,30,Good Data,1,0.226,Left,71,Jim Gosger,185
Overweight,"O4: [26.5,30)",OvWgt 2,26.541836735,Batted,c Overwgt,17,Good Data,1,0.238,Right,70,Chuck Harrison,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,Batted,c Overwgt,81,Good Data,1,0.269,Right,75,Mike Ivie,205
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,No Batting,c Overwgt,0,Good Data,1,0,Right,75,Frank Dimichele,205
Normal,"N4: [24,25)",Normal 2,24.496383958,Batted,b Normal,0,Good Data,1,0.114,Both,78,Bob Veale,212
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,40,Good Data,1,0.247,Left,71,Marvell Wynne,175
Normal,"N3: [22,24)",Normal 2,23.493243243,Batted,b Normal,242,Good Data,1,0.278,Right,74,Dusty Baker,183
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,6,Good Data,1,0.218,Right,73,Tucker Ashford,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,Batted,c Overwgt,16,Good Data,1,0.212,Right,73,Ned Yost,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,Batted,c Overwgt,33,Good Data,1,0.25,Both,71,Bob Stinson,180
Normal,"N3: [22,24)",Normal 2,23.085944830,No Batting,b Normal,0,Good Data,1,0,Right,73,Mike Warren,175
Normal,"N4: [24,25)",Normal 2,24.950657895,Batted,b Normal,6,Good Data,1,0.131,Right,76,Gaylord Perry,205
Normal,"N4: [24,25)",Normal 2,24.009382623,Batted,b Normal,16,Good Data,1,0.246,Left,73,Dave Marshall,182
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,38,Good Data,1,0.28,Right,74,Mickey Hatcher,200
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,82,Good Data,1,0.224,Left,75,Roger Repoz,190
Normal,"N4: [24,25)",Normal 2,24.370666667,No Batting,b Normal,0,Good Data,1,0,Right,75,Bill Fulton,195
Overweight,"O4: [26.5,30)",OvWgt 2,26.870222222,Batted,c Overwgt,40,Good Data,1,0.249,Right,75,John Orsino,215
Normal,"N3: [22,24)",Normal 2,23.745777778,No Batting,b Normal,0,Good Data,1,0,Right,75,Larry Anderson,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,Batted,c Overwgt,139,Good Data,1,0.253,Left,73,Johnny Briggs,190
Normal,"N2: [22,23)",Normal 1,22.496,No Batting,b Normal,0,Good Data,1,0,Right,75,Craig Mitchell,180
Overweight,"O3: [26,26.5)",OvWgt 2,26.167763158,Batted,c Overwgt,37,Good Data,1,0.229,Right,76,Dave Hostetler,215
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,20,Good Data,1,0.221,Left,74,Bob Jones,195
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,162,Good Data,1,0.296,Left,72,Keith Hernandez,180
Normal,"N3: [22,24)",Normal 2,23.120888889,No Batting,b Normal,0,Good Data,1,0,Right,75,Alfredo Martinez,185
Normal,"N4: [24,25)",Normal 2,24.995555556,Batted,b Normal,0,Good Data,1,0.066,Right,75,Dean Chance,200
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,123,Good Data,1,0.262,Left,72,Willie Upshaw,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.824489796,Batted,c Overwgt,80,Good Data,1,0.24,Right,70,Dick Green,180
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,14,Good Data,1,0.276,Left,72,Dane Iorg,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,203,Good Data,1,0.276,Left,73,Richie Hebner,195
Overweight,"O3: [26,26.5)",OvWgt 2,26.085343228,Batted,c Overwgt,20,Good Data,1,0.25,Right,77,Fran Healy,220
Overweight,"O4: [26.5,30)",OvWgt 2,27.601351351,Batted,c Overwgt,15,Good Data,1,0.238,Right,74,Doc Edwards,215
Normal,"N1: [19,22)",Normal 1,20.672127704,Batted,b Normal,13,Good Data,1,0.245,Both,69,Sandy Alomar,140
Normal,"N4: [24,25)",Normal 2,24.246326531,Batted,b Normal,1,Good Data,1,0.25,Right,70,Joe Strain,169
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,26,Good Data,1,0.29,Left,72,Gene Richards,175
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,201,Good Data,1,0.279,Right,73,Buddy Bell,180
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,35,Good Data,1,0.271,Left,75,Al Woods,190
Normal,"N1: [19,22)",Normal 1,21.766747983,Batted,b Normal,18,Good Data,1,0.271,Left,73,Rudy Law,165
Normal,"N4: [24,25)",Normal 2,24.306797099,No Batting,b Normal,0,Good Data,1,0,Left,77,Joel Davis,205
Normal,"N3: [22,24)",Normal 2,23.368421053,Batted,b Normal,127,Good Data,1,0.245,Right,76,Jody Davis,192
Normal,"N2: [22,23)",Normal 1,22.094285714,Batted,b Normal,2,Good Data,1,0.25,Right,70,Mike Edwards,154
Normal,"N3: [22,24)",Normal 2,23.731674383,No Batting,b Normal,0,Good Data,1,0,Right,72,Bill Mooneyham,175
Normal,"N3: [22,24)",Normal 2,23.745777778,No Batting,b Normal,0,Good Data,1,0,Right,75,John Hobbs,190
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,245,Good Data,1,0.244,Right,74,Deron Johnson,200
Normal,"N3: [22,24)",Normal 2,23.120888889,Batted,b Normal,0,Good Data,1,0.17,Right,75,John Denny,185
Normal,"N3: [22,24)",Normal 2,23.242040816,Batted,b Normal,77,Good Data,1,0.242,Right,70,Don Wert,162
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,13,Good Data,1,0.227,Left,72,Mike Fiore,175
Normal,"N1: [19,22)",Normal 1,21.697530864,Batted,b Normal,6,Good Data,1,0.265,Both,72,Miguel Dilone,160
Overweight,"O4: [26.5,30)",OvWgt 2,29.022330644,Batted,c Overwgt,307,Good Data,1,0.276,Right,73,Greg Luzinski,220
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,86,Good Data,1,0.265,Left,71,Bobby Tolan,170
Normal,"N3: [22,24)",Normal 2,23.125,No Batting,b Normal,0,Good Data,1,0,Right,76,Karl Best,190
Normal,"N4: [24,25)",Normal 2,24.342105263,No Batting,b Normal,0,Good Data,1,0,Left,76,Steve Barr,200
Normal,"N4: [24,25)",Normal 2,24.102857143,Batted,b Normal,26,Good Data,1,0.233,Right,70,Ron Woods,168
Overweight,"O3: [26,26.5)",OvWgt 2,26.245333333,Batted,c Overwgt,76,Good Data,1,0.268,Right,75,Tony Horton,210
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,82,Good Data,1,0.236,Right,71,Randy Hundley,170
